title,category
The Knight of the Rose,___ of ___
Darkness Falls,None
Auracle,One Word
Queen's Own,None
Angel Fever,None
The Dark God's Bride Trilogy,None
Deception,One Word
Labyrinth of Evil,___ of ___
Shadows on the Moon,None
Darkness Unmasked,None
Hook,One Word
East o' the Sun and West o' the Moon,___ and ___
The Time Machine/The War of the Worlds,___ of ___
Dreamer's Pool,None
Flame of Sevenwaters,___ of ___
TekWar,One Word
The Four Seasons of Brambly Hedge,___ of ___
Deep Fathom,None
Shadowstorm,One Word
Midnight's Mask,None
The Library Card,The Adj Noun
The Swan Kingdom,The Adj Noun
The Road to Avalon,None
"Vampire Chronicles: Interview with the Vampire, The Vampire Lestat, The Queen of the Damned",___ of ___
Fray,One Word
Last of the Nephilim,___ of ___
Blood Song,None
Divine By Blood,None
Creatures of Light and Darkness,___ of ___
The Renfield Syndrome,The Adj Noun
Queen of the Dead,___ of ___
Legacy,One Word
Crave,One Word
Dogsbody,One Word
"Hellsing, Vol. 01",None
The Kane Chronicles Survival Guide,None
Wild About You,None
Tributary,One Word
Mass Effect: Revelation,None
The Gathering Storm,The Adj Noun
The Redwall Collection,The Adj Noun
Ice,One Word
Fashionably Dead,None
Flawed Dogs: The Shocking Raid on Westminster,None
The Final Formula,The Adj Noun
Trapped,One Word
Dangerous Creatures,None
Pale Kings and Princes,___ and ___
The Golden Sword,The Adj Noun
Crimson Frost,None
Slaves of the Mastery,___ of ___
RoseBlood,One Word
Who Goes There?,None
The Stainless Steel Rat,None
The State of the Art,___ of ___
"Chobits, Vol. 6",None
Return of the Guardian-King,___ of ___
The Woman Who Loved Reindeer,None
Thirty Nights with a Highland Husband,None
Shadow's Witness,None
Split Infinity,None
Pleasure,One Word
The Darkest Fire,The Adj Noun
About a Dragon,None
Nightmare,One Word
Prophet,One Word
Inner Demons,None
Rival Demons,None
Carrier of the Mark,___ of ___
The Three Little Wolves and the Big Bad Pig,___ and ___
"Ashes, Ashes",None
The Dead of Night,___ of ___
Oracle,One Word
Don't Hex with Texas,None
Stay Out of the Basement,___ of ___
This Book Is Full of Spiders,___ of ___
"The Sandman Omnibus, Vol. 1",None
Life Before Legend,None
The Key,"""The"" One Word"
Darkness Hunts,None
Just in Case,None
By Darkness Hid,None
"Attack on Titan: No Regrets, Vol. 1",None
Grounded: The Adventures of Rapunzel,___ of ___
The Shadow Over Innsmouth,None
Den of Wolves,___ of ___
The Plague Dogs,The Adj Noun
The Encyclopedia of Early Earth,___ of ___
The Power That Preserves,None
Tempest Rising,None
Wildwing,One Word
The Highwayman,"""The"" One Word"
The Immortal Realm,The Adj Noun
Secrets of the Shopping Mall,___ of ___
Raintree: Inferno / Raintree: Sanctuary / Raintree: Haunted,None
Tempestuous,One Word
Circles of Seven,___ of ___
Ronin,One Word
Found,One Word
Demon Apocalypse,None
Enchantress from the Stars,None
Deadly Little Voices,None
Black Moon,None
Rise,One Word
The Foot Book: Dr. Seuss's Wacky Book of Opposites,___ of ___
The Dark Rival,The Adj Noun
"Avatar: The Last Airbender: The Search, Part 1",None
The Book of Atrus,___ of ___
In the Ruins,None
Unchained - Nephilim Rising,None
Sins of the Demon,___ of ___
Mass Effect: Ascension,None
Secret,One Word
Tales from the Perilous Realm,None
Insignia,One Word
The World of Robert Jordan's the Wheel of Time,___ of ___
Hunted,One Word
Armageddon Outta Here,None
Borders of Infinity,___ of ___
Dark Frost,None
Magic Marks the Spot,None
The Facts of Life,___ of ___
"Locke & Key, Vol. 5: Clockworks",___ and ___
"Mirror, Mirror",None
Rebel,One Word
Mirror Mirror,None
Confessions of a Crap Artist,___ of ___
Betwixt,One Word
Dragon Harper,None
Ironhand's Daughter,None
Shadowbred,One Word
Dawn of Night,___ of ___
You Wish,None
"Blood, Body and Mind",___ and ___
The River King,The Adj Noun
Personal Demons,None
Lion of Ireland,___ of ___
The Shadow of the Bear,___ of ___
Songmaster,One Word
Jaina Proudmoore: Tides of War,___ of ___
Legend,One Word
Practical Demonkeeping,None
Flash Point,None
The Day the Crayons Quit,None
Lies & Omens,___ and ___
Darkness Splintered,None
"Tegami Bachi: Letter Bee, Volume 1",None
Blackwater: The Complete Caskey Family Saga,None
Random Acts of Senseless Violence,___ of ___
Crimson Bound,None
Resistance,One Word
Laurus,One Word
The Boy on the Bridge,None
Persepolis Rising,None
How to Run with a Naked Werewolf,None
The Land of Laughs,___ of ___
The Illearth War,The Adj Noun
Outlaws of the Marsh,___ of ___
Damien,One Word
Rogue,One Word
Walking on Glass,None
The Last Defender of Camelot,___ of ___
Vampire Hunter D,None
Heir of Sea and Fire,___ of ___
Harpist in the Wind,None
Bradbury Stories: 100 of His Most Celebrated Tales,___ of ___
The Mayfair Moon,The Adj Noun
Kindred,One Word
The Ballad of Aramei,___ of ___
Riveted,One Word
The Rising Force,The Adj Noun
Mass Effect: Retribution,None
The Devil's Right Hand,None
The Harper Hall of Pern,___ of ___
The Forgotten Ones,The Adj Noun
Illuminate,One Word
Legend Trilogy Boxed Set,None
Darkness Falls,None
Tales of Terror from the Black Ship,___ of ___
Stranger and Stranger,___ and ___
Batman: Hush,None
It's All Greek to Me,None
The Zodiac Legacy: Convergence,None
Tales of the Peculiar,___ of ___
Daredevil: The Man Without Fear,None
The Falconer,"""The"" One Word"
The Shadows Between Us,None
Bring Me the Head of Prince Charming,___ of ___
The Seeing Stone,The Adj Noun
Enchanter,One Word
Olivia,One Word
Homecoming,One Word
Leven Thumps and the Whispered Secret,___ and ___
The Anvil of the World,___ of ___
Life Sucks,None
Shadowrealm,One Word
Ecstasy,One Word
"Halo: The Fall of Reach, The Flood, First Strike",___ of ___
The Lost Queen,The Adj Noun
The Seventh Daughter,The Adj Noun
Bliss,One Word
Reincarnation,One Word
Bloodchild and Other Stories,___ and ___
His Purrfect Mate,None
Black Trillium,None
The Deepest Cut,The Adj Noun
Lost,One Word
Uther,One Word
Darke,One Word
"Hold Me Closer, Necromancer",None
Immortal,One Word
An Oath of the Blood,___ of ___
The End of the World,___ of ___
The Paradox,"""The"" One Word"
Black Wolves,None
Reawakened,One Word
The House of Shattered Wings,___ of ___
Updraft,One Word
Dreamstrider,One Word
An Inheritance of Ashes,___ of ___
Hunter,One Word
City of Blades,___ of ___
The Spider's War,The Adj Noun
The Price of Valour,___ of ___
The Dinosaur Lords,The Adj Noun
"Batman: Knightfall, Part One: Broken Bat",None
The Ones Who Walk Away from Omelas,None
Homecoming,One Word
The Wolf Wilder,The Adj Noun
A Map of Days,___ of ___
Spin the Dawn,None
Moon Dance,None
StarCrossed,One Word
Exile's Honor,None
Charlotte Sometimes,None
Deathwish,One Word
Vampire Crush,None
Original Sin,None
Dreaming Awake,None
The Fairy Rebel,The Adj Noun
Eragon's Guide to Alagaësia,None
"Bone: Quest for the Spark, Vol. 1",None
The Fallen Legacies,The Adj Noun
Stronghold,One Word
Legend of the Sword,___ of ___
Fury's Kiss,None
Uncle Montague's Tales of Terror,___ of ___
Archangel's Enigma,None
The Initiation,"""The"" One Word"
Paladin,One Word
Bellefleur,One Word
The Complete Works of Edgar Allan Poe,___ of ___
Bob,One Word
"xxxHolic, Vol. 2",None
Madouc,One Word
Devil's Footsteps,None
Dark Moon,None
Murder Game,None
The Tough Guide to Fantasyland,None
She Who Remembers,None
The Girl With Glass Feet,None
Conrad's Fate,None
Blackout,One Word
Masters & Slayers,___ and ___
Eternal Hunter,None
Revelations,One Word
The Rats,"""The"" One Word"
The Neptune Project,The Adj Noun
Chimera,One Word
Library of the Dead,___ of ___
Messiah's Handbook: Reminders for the Advanced Soul,None
People of the Fire,___ of ___
A Whole New World,None
Inherit the Stars,None
The Vanishing Throne,The Adj Noun
On Stranger Tides,None
Outbound Flight,None
First Frost,None
The Cloak Society,The Adj Noun
Island of Dragons,___ of ___
Touched,One Word
Unfaithful,One Word
"Nausicaä of the Valley of the Wind, Vol. 6",___ of ___
Before the Coffee Gets Cold,None
The Peddler's Road,The Adj Noun
The Book of D'ni,___ of ___
"Re: Colonised Planet 5, Shikasta",None
The Regulators,"""The"" One Word"
X-Men: The Dark Phoenix Saga,None
Heaven and Earth,___ and ___
Vampire Rites Trilogy,None
The Stand: Captain Trips,None
Freewill,One Word
The Golden Spiral,The Adj Noun
Nathaniel,One Word
Sailor Twain: Or: The Mermaid in the Hudson,None
Johnny Angel,None
Sixty-One Nails,None
Island of Fire,___ of ___
The Wheel of time series by Robert Jordan,___ of ___
Red-Headed Stepchild,None
The Lost Conspiracy,The Adj Noun
Mermen,One Word
MerMadmen,One Word
"Red River, Vol. 1",None
Forge of Darkness,___ of ___
On the Edge of Gone,___ of ___
The Grand Tour,The Adj Noun
Complete Shorter Fiction,None
"Runaways Deluxe, Vol. 1",None
Leven Thumps and the Wrath of Ezra,___ of ___
"Y: The Last Man, Vol. 10: Whys and Wherefores",___ and ___
The Last Leopard,The Adj Noun
A Chalice of Wind,___ of ___
Dull Boy,None
The Glass Swallow,The Adj Noun
Awry,One Word
Berserk,One Word
Storybound,One Word
A Cast of Stones,___ of ___
The Firebird,"""The"" One Word"
The Originals,"""The"" One Word"
The Prey,"""The"" One Word"
Shiva's Fire,None
Ruin Box Set 1-3,None
The Evil We Love,None
"Yu-Gi-Oh!, Vol. 1: The Millenium Puzzle",None
The Drafter,"""The"" One Word"
The Veil,"""The"" One Word"
Dark Heir,None
Cracked,One Word
"Sword Art Online: Progressive, Vol. 1",None
Inherit the Stars,None
I Am Princess X,None
The Water Dancer,The Adj Noun
Prentice Alvin,None
Quest for Lost Heroes,None
Summer,One Word
Touch of Darkness,___ of ___
Robot Dreams,None
The Secret of Platform 13,___ of ___
Awakening,One Word
Into the Dreaming,None
Bourne,One Word
Dracula the Un-Dead,None
"Captain Marvel, Volume 1: In Pursuit of Flight",___ of ___
Flyaway,One Word
Tangle of Need,___ of ___
The Hunt,"""The"" One Word"
The Drowning Girl,The Adj Noun
The Adventures of Baron Münchausen,___ of ___
Touch,One Word
Night Broken,None
The Fog Diver,The Adj Noun
Brokenhearted,One Word
The Blackthorn Key,The Adj Noun
Prince Lestat and the Realms of Atlantis,___ of ___
"Nausicaä of the Valley of the Wind, Vol. 5",___ of ___
Predator Vs Prey,None
The Baker's Boy,The Adj Noun
Real Vampires Have Curves,None
Little Pilgrim's Progress: From John Bunyan's Classic,None
Spellbinder,One Word
Soulmate,One Word
Dark Angel,None
Wolf in Shadow,None
Breathless,One Word
Elijah,One Word
"Someone Comes to Town, Someone Leaves Town",None
Mara and Dann,___ and ___
Promise,One Word
Guardian of the Gate,___ of ___
Always,One Word
The Oracle of Stamboul,___ of ___
Tears of a Dragon,___ of ___
Perrault's Fairy Tales,None
Blurred Expectations,None
The Trap,"""The"" One Word"
Nicholas St. North and the Battle of the Nightmare King,___ of ___
My Protector,None
Untamed,One Word
Pocket Apocalypse,None
Unlocked,One Word
Road of the Patriarch,___ of ___
Huntress,One Word
The Charmed Return,The Adj Noun
The Circle Trilogy,The Adj Noun
My Name Is Mina,None
Amped,One Word
Drowned Wednesday,None
I Sing the Body Electric! & Other Stories,___ and ___
Robin: Lady of Legend (The Classic Adventures of the Girl Who Became Robin Hood),___ of ___
Monster,One Word
Give Up the Ghost,None
The Darkest Touch,The Adj Noun
The Last Werewolf,The Adj Noun
Sufficiently Advanced Magic,None
Everyone's a Aliebn When Ur a Aliebn Too,None
Undone,One Word
Treason,One Word
"Don't Die, Dragonfly",None
Witchlight,One Word
Requiem: The Fall of the Templars,___ of ___
Earthborn,One Word
Forever and Always,___ and ___
"Amy, Number Seven",None
A Fine and Private Place,___ and ___
Who Will Comfort Toffle?,None
Welcome to the Underworld,None
Saint City Sinners,None
To Hell and Back,___ and ___
Alif the Unseen,None
Earth Star,None
The Scottish Prisoner,The Adj Noun
Sanctum,One Word
Palace of Stone,___ of ___
The Initiate,"""The"" One Word"
The Amphibian,"""The"" One Word"
The Darkest Legacy,The Adj Noun
"Nausicaä of the Valley of the Wind, Vol. 4",___ of ___
"Nausicaä of the Valley of the Wind, Vol. 7",___ of ___
The Confessions of Max Tivoli,___ of ___
The Guns of Avalon,___ of ___
The Bitten,"""The"" One Word"
I Am Morgan le Fay,None
Nightseer,One Word
Angel-Seeker,One Word
Angelica,One Word
Jovah's Angel,None
"Ex Machina, Vol. 1: The First Hundred Days",None
Avatar Volume 1: The Last Airbender,None
A Touch Mortal,None
Caught,One Word
Soulbound,One Word
Shadows in the Silence,None
Immanuel's Veins,None
Afraid,One Word
Awakening,One Word
The Copper Gauntlet,The Adj Noun
"The Vision, Volume 1: Little Worse Than A Man",None
Sweep: The Story of a Girl and Her Monster,___ of ___
Black Wine,None
In the Realm of the Wolf,___ of ___
Wrapt in Crystal,None
All I Want for Christmas is a Vampire,None
With a Tangled Skein,None
The Last Light of the Sun,___ of ___
Freefall,One Word
Pandora's Box,None
The Overlord Protocol,The Adj Noun
Memoirs of a Space Traveler: Further Reminiscences of Ijon Tichy,___ of ___
His Master's Voice,None
I Am Alice,None
Virtual Light,None
Reaver,One Word
Sabotage,One Word
Whom The Gods Would Destroy,None
"Alice in the Country of Hearts, Vol. 01",___ of ___
The Warlord Wants Forever,None
Ignite,One Word
Lair of Dreams,___ of ___
"Fables: The Deluxe Edition, Book One",None
Fisher's Autism Trilogy,None
"Nausicaä of the Valley of the Wind, Vol. 3",___ of ___
Tunnel of Bones,___ of ___
Gallows Hill,None
Twilight Phantasies,None
The Brothers' War,The Adj Noun
The Alleluia Files,The Adj Noun
The Fabulous Riverboat,The Adj Noun
Alpha & Omega,___ and ___
Shatterproof,One Word
The Wee Free Men: The Beginning,None
Everybody Sees the Ants,None
The Winter Long,The Adj Noun
City of Ghosts,___ of ___
The Last Witchfinder,The Adj Noun
Thirsty,One Word
The Nixie's Song,The Adj Noun
Hungry for You,None
Nightfall and Other Stories,___ and ___
Mark of the Demon,___ of ___
Destiny Binds,None
Purpose,One Word
The Great Unexpected,The Adj Noun
Search for Senna,None
Allegiance,One Word
The Meeting,"""The"" One Word"
The Devoted Friend,The Adj Noun
The Tower on the Rift,None
Mastiff,One Word
My Healer,None
"I, Tituba, Black Witch of Salem",___ of ___
Nightmares!,One Word
The House with Chicken Legs,None
Kalki,One Word
Lord John and the Hand of Devils,___ of ___
The Lost Warrior,The Adj Noun
War of the Ancients Archive,___ of ___
Dragon's Kin,None
The Prefect,"""The"" One Word"
The Doom Brigade,The Adj Noun
The Kissing Hand,The Adj Noun
The Key,"""The"" One Word"
The Songs of Distant Earth,___ of ___
The Tomorrow Code,The Adj Noun
Mermaid Park,None
Eternal Flame,None
Ferus,One Word
Crusader,One Word
The Little Match Girl,None
Lady Cottington's Pressed Fairy Book,None
Unbreakable,One Word
The Rogue Crew,The Adj Noun
Rogue Squadron,None
Seducing Destiny,None
The Voicemail of Magnus Bane,___ of ___
The Queen Is Dead,None
Arcana Rising,None
Dr. Seuss's Sleep Book,None
Eon,One Word
The Ruins of Gorlan / The Burning Bridge / The Icebound Land,___ of ___
The Adventures of Robin Hood: An English Legend,___ of ___
Equites,One Word
Eternity of Vengeance,___ of ___
Six Moon Summer,None
Unraveling Isobel,None
The Shamer's War,The Adj Noun
"The Clan of the Cave Bear, the Valley of Horses, the Mammoth Hunters, the Plains of Passage, The Shelters of Stone",___ of ___
The Evolutionary Void,The Adj Noun
My Boyfriend Merlin,None
Immortal,One Word
Freddy and Fredericka,___ and ___
Control,One Word
Lost Scene from Hallowed,None
The Whitechapel Fiend,The Adj Noun
Fair Game,None
Sweet Temptation,None
Libriomancer,One Word
And the Trees Crept In,None
The Battle Begins,The Adj Noun
"Fruits Basket, Vol. 14",None
The Story of King Arthur and His Knights,___ of ___
Undead and Unreturnable,___ and ___
Warrior's Refuge,None
Warrior's Return,None
Silver on the Tree,None
Shoeless Joe,None
"Nyx in the House of Night: Mythology, Folklore and Religion in the PC and Kristin Cast Vampyre Series",___ of ___
The Hatchling,"""The"" One Word"
The Siege,"""The"" One Word"
Dark Whispers,None
Proditor,One Word
Truancy,One Word
Origins,One Word
Angel Time,None
The Fall,"""The"" One Word"
